TRN_OP_DATE,STA_CODE,GATE_IN_COMING_CNT,GATE_OUT_GOING_CNT
20250104,6050,420,480
20250104,6060,8,4
20250104,6070,495,571
20250104,6080,125,150
20250104,6090,7,6
20250104,6100,12,10
20250104,6110,1160,1236
20250104,6120,8,8
20250104,6130,594,816
20250104,6140,37,29
20250104,6150,10,8
20250104,6160,442,402
20250104,6170,47,35
20250104,6180,318,353
20250104,6190,10,16
20250104,6200,29,406
20250104,6210,23,32
20250104,6220,309,358
20250104,6230,10,10
20250104,6240,671,316
20250104,6250,586,498
20250104,7000,9356,9588
20250104,7010,147,118
20250104,7020,9,9
20250104,7030,333,332
20250104,7040,12,17
20250104,7050,33,39
20250104,7060,367,345
20250104,7070,4,5
20250104,7080,3,2
20250104,7090,543,617
20250104,7100,138,133
20250104,7110,6,12
20250104,7120,401,486
20250104,7130,559,616
20250104,7150,1684,1595
20250104,7160,5313,5686
20250104,7170,89,78
20250104,7180,189,213
20250104,7190,4294,4870
20250104,7200,147,131
20250104,7210,2584,3158
20250104,7220,106,109
20250104,7230,939,1014
20250104,7240,76,88
20250104,7250,67,72
20250104,7260,205,230
20250104,7270,280,176
20250104,7280,24,24
20250104,7290,859,993
20250104,7300,111,183
20250104,7310,723,818
20250104,7320,260,365
20250104,7330,195,181
20250104,7331,10,10
20250104,7332,2036,1937
20250104,7333,24,35
20250104,7334,40,36
20250104,7335,370,422
20250104,7336,361,304
20250104,7350,968,997
20250104,7360,5893,6695
20250104,7361,212,250
20250104,7380,727,713
20250104,7390,509,541
20250105,0900,10417,9859
20250105,0910,1248,1377
20250105,0920,1807,1711
20250105,0930,5077,5074
20250105,0940,2007,1960
20250105,0950,1829,1588
20250105,0960,8645,9141
20250105,0970,5743,6080
20250105,0980,11980,12669
20250105,0990,13721,14332
20250105,1000,57748,60615
20250105,1010,4562,4755
20250105,1020,23437,25225
20250105,1030,2600,2601
20250105,1040,13593,13877
20250105,1050,1195,1147
20250105,1060,1649,1505
20250105,1070,7534,7431
20250105,1075,1815,1707
20250105,1080,30681,31204
20250105,1090,8496,8604
20250105,1100,28380,29781
20250105,1110,5266,5251
20250105,1120,4884,5088
20250105,1130,2063,1948
20250105,1140,303,277
20250105,1150,917,938
20250105,1160,3555,3692
20250105,1170,7361,8295
20250105,1180,5186,5509
20250105,1190,1929,2264
20250105,1191,283,309
20250105,1192,1463,2593
20250105,1193,741,1215
20250105,1194,4560,2912
20250105,1201,81,92
20250105,1202,368,153
20250105,1203,771,623
20250105,1204,153,159
20250105,1205,50,59
20250105,1206,108,124
20250105,1207,6,214
20250105,1208,858,852
20250105,1210,23434,24715
20250105,1220,1105,1233
20250105,1230,631,572
20250105,1240,314,293
20250105,1250,9367,9159
20250105,2110,91,160
20250105,2120,74,74
20250105,2130,941,1627
20250105,2140,28,21
20250105,2150,992,931
20250105,2160,65,69
20250105,2170,995,740
20250105,2180,1606,1305
20250105,2190,393,369
20250105,2200,3515,2907
20250105,2210,94,61
20250105,2220,1702,1285
20250105,2230,3598,3451
20250105,2240,605,489
20250105,2250,770,646
20250105,2260,882,219
20250105,3140,506,384
20250105,3150,1323,1096
20250105,3160,5381,4782
20250105,3170,95,119
20250105,3180,1277,1106
20250105,3190,843,712
20250105,3210,1132,992
20250105,3220,2152,2573
20250105,3230,10361,9105
20250105,3240,958,911
20250105,3250,3004,3031
20250105,3260,802,697
20250105,3270,2929,2782
20250105,3280,2978,2971
20250105,3290,1619,1660
20250105,3300,33225,32805
20250105,3310,1815,2025
20250105,3320,2603,2844
20250105,3330,884,882
20250105,3340,8895,10033
20250105,3350,706,1397
20250105,3360,15252,14293
20250105,3370,1546,1308
20250105,3380,979,831
20250105,3390,8734,6724
20250105,3400,740,497
20250105,3410,1281,978
20250105,3420,3197,2183
20250105,3430,1195,914
20250105,3431,12,8
20250105,3432,109,93
20250105,3433,2,10
20250105,3434,121,95
20250105,3435,69,65
20250105,3436,73,87
20250105,3450,1288,980
20250105,3460,322,284
20250105,3470,7142,6794
20250105,3480,2893,2247
20250105,3490,163,123
20250105,4050,1582,2039
20250105,4060,2146,2253
20250105,4070,661,610
20250105,4080,12397,11018
20250105,4090,856,715
20250105,4100,316,174
20250105,4110,568,483
20250105,4120,5595,4638
20250105,4130,456,938
20250105,4140,570,417
20250105,4150,1415,1598
20250105,4160,163,160
20250105,4170,3199,3446
20250105,4180,901,1171
20250105,4190,2229,2547
20250105,4200,3417,3788
20250105,4210,2515,3650
20250105,4220,28312,28510
20250105,4250,1554,2091
20250105,4260,899,944
20250105,4270,370,431
20250105,4271,343,549
20250105,4272,3555,3452
20250105,4290,1153,1948
20250105,4300,1555,1658
20250105,4310,3074,3738
20250105,4320,1241,1404
20250105,4330,2250,2594
20250105,4340,13295,14476
20250105,4350,767,766
20250105,4360,938,904
20250105,4370,1324,1376
20250105,4380,706,664
20250105,4390,725,705
20250105,4400,17423,16871
20250105,4410,916,912
20250105,4420,1507,1736
20250105,4430,1223,1138
20250105,4440,5974,6639
20250105,4450,660,654
20250105,4460,1280,1326
20250105,4470,149,148
20250105,5000,12068,11314
20250105,5010,283,316
20250105,5020,258,191
20250105,5030,981,867
20250105,5040,367,332
20250105,5050,4679,3886
20250105,5060,52,40
20250105,5070,565,568
20250105,5080,28,18
20250105,5090,593,435
20250105,5100,202,145
20250105,5110,88,324
20250105,5120,1433,995
20250105,5130,249,2
20250105,5140,1,0
20250105,5160,1,1
20250105,5190,378,330
20250105,5200,55,23
20250105,5210,1030,752
20250105,5220,226,181
20250105,5230,1007,1085
20250105,5240,20,36
20250105,6000,5407,5478
20250105,6010,9,13
20250105,6020,195,126
20250105,6030,17,12
20250105,6040,7,7
20250105,6050,714,512
20250105,6060,7,5
20250105,6070,721,617
20250105,6080,291,177
20250105,6090,3,7
20250105,6100,12,10
20250105,6110,1465,1361
20250105,6120,11,21
20250105,6130,1083,644
20250105,6140,38,28
20250105,6150,10,9
20250105,6160,553,373
20250105,6170,43,40
20250105,6180,412,280
20250105,6190,32,9
20250105,6200,16,11
20250105,6210,42,38
20250105,6220,466,288
20250105,6230,5,5
20250105,6240,444,456
20250105,6250,714,673
20250105,7000,11715,11138
20250105,7010,104,143
20250105,7020,9,9
20250105,7030,396,289
20250105,7040,14,19
20250105,7050,27,27
20250105,7060,293,286
20250105,7070,6,3
20250105,7080,4,1
20250105,7090,570,445
20250105,7100,107,99
20250105,7110,10,11
20250105,7120,414,411
20250105,7130,530,577
20250105,7150,551,538
20250105,7160,5631,4620
